Country,Literacy Rate,GDP (Current USD),,GDP Growth (% Annual),GDP per Capita (Current USD),,Unemployment Rate (%)
Papua New Guinea,63.4,,30729242919,3.035704755,2957.682625,,2.661
Paraguay,94.5,,42956263544,4.714124079,6276.351139,,5.794
Peru,94.5,,2.67603E+11,-0.550182306,7906.585029,,4.899
Philippines,96.3,,4.37146E+11,5.545851171,3804.87258,,2.222
Poland,99.8,,8.09201E+11,0.138832755,22056.66617,,2.743
Portugal,95.7,,2.89114E+11,2.526281108,27331.20949,,6.509
Qatar,97.8,,2.13003E+11,1.187159912,80195.87465,,0.13
Romania,98.9,,3.50776E+11,2.404271779,18404.27309,,5.589
Russia,99.7,,2.02142E+12,3.6,13817.0459,,3.076
Rwanda,73.2,,14097768472,8.241287695,1010.268929,,12.352
Saint Kitts and Nevis,97.8,,1055499778,2.284948091,22573.67248,,5.3
Saint Lucia,90.1,,2430148148,2.21007266,13554.66519,,11.092
Saint Vincent and the Grenadines,96,,1065962963,6.016109145,10520.44415,,18.574
Samoa,99,,938189443.8,8.584091218,4330.178405,,4.977
San Marino,99.9,,1659386536,0.098673283,49407.3105,,5.6
Saudi Arabia,97.6,,1.06758E+12,-0.754914811,32093.9623,,4.008
Senegal,52.1,,30848333084,4.584061405,1706.44218,,2.8
Serbia,98,,81342660752,3.847471128,12281.50585,,8.268
Seychelles,95.9,,2141450171,3.161714355,17879.23965,,3
Sierra Leone,43.2,,6411869546,5.710021898,757.858336,,3.153
Singapore,97.5,,5.01428E+11,1.075031751,84734.25592,,3.444
Slovakia,99.6,,1.32908E+11,1.378337272,24491.37719,,5.84
Slovenia,99.7,,69148468417,2.112591843,32610.11092,,3.652
Solomon Islands,76.6,,1633319401,3.079769815,2041.636491,,1.455
Somalia,37.8,,10968517090,4.216384326,597.4588546,,18.941
South Africa,87,,3.80699E+11,0.698485195,6022.542542,,32.098
South Korea,97.9,,1.71279E+12,1.356733243,33121.37129,,2.675
South Sudan,34.5,,14304556023,-6.586501287,1338.264387,,12.7
Spain,98.4,,1.62009E+12,2.675663493,33509.0128,,12.179
Sri Lanka,92.3,,84356863744,-2.298010562,3827.964956,,5.997
Sudan,60.7,,1.09266E+11,-20.11157597,2183.441406,,13.59330769
Suriname,95.4,,3455146281,2.539566754,5494.074094,,7.631
Sweden,99,,5.8496E+11,-0.310670185,55516.83648,,7.611
Switzerland,99,,8.8494E+11,0.716066869,99564.71003,,4.043
Syria,86.4,,27271005172,-4.747113546,1267.517923,,50
Tajikistan,99.8,,12060602009,8.299999217,1160.81187,,11.546
Tanzania,81.8,,79062403821,5.069523532,1224.489624,,2.582
Thailand,94.1,,5.14969E+11,1.887257251,7182.025258,,0.733
East Timor,68.1,,2079916900,-18.11781338,1502.519638,,1.521
Togo,66.5,,9171261838,6.407922156,985.6975126,,1.948
Tonga,99.4,,460034440.9,1.69710269,4334.28867,,2.262
Trinidad and Tobago,99,,27372285698,1.347675182,20016.1503,,4.21
Tunisia,81.8,,48529595417,0.039156567,3977.695166,,15.106
Turkmenistan,99.7,,60628857143,6.300157585,8232.65226,,4.099
Tuvalu,99,,62280311.59,3.852809195,6344.775019,,6
Uganda,76.5,,48768955863,5.336972955,1002.309139,,2.787
Ukraine,99.8,,1.78757E+11,5.324335374,5069.703125,,8.684333333
United Arab Emirates,97,,5.1413E+11,3.618706535,49040.69475,,2.151
United Kingdom,99,,3.38085E+12,0.339966158,49463.85546,,3.984
United States,99,,2.77207E+13,2.887556009,82769.41221,,3.638
Uruguay,98.6,,77240830877,0.367475176,22797.81117,,8.355
Uzbekistan,100,,1.01592E+11,6.291416351,2849.514611,,4.46
Vanuatu,89,,1126313359,2.212941771,3515.236336,,5.082
Venezuela,97.1,,3.88865E+11,1.152459729,13147.68084,,8
Vietnam,95.4,,4.29717E+11,5.046430736,4282.088517,,1.645
Yemen,54.1,,33876557984,-4.408198771,477.4090287,,17.091
Zambia,87.4,,27577956471,5.367942855,1330.727806,,5.905
Zimbabwe,89,,35231367886,5.336730495,2156.034004,,8.759
